iter	Passed	Remaining
0	227	2279604
1	283	1419069
2	317	1058267
3	371	929222
4	425	849825
5	479	799086
6	548	782518
7	598	747268
8	636	706571
9	696	695335
10	749	680510
11	799	665515
12	860	661146
13	911	650329
14	964	641940
15	1007	628862
16	1069	628043
17	1119	620593
18	1169	614502
19	1219	608733
20	1265	601275
21	1320	598861
22	1368	593443
23	1429	594369
24	1479	590390
25	1540	590872
26	1592	588152
27	1646	586453
28	1692	581872
29	1742	579110
30	1789	575506
31	1837	572308
32	1878	567258
33	1930	565771
34	1971	561400
35	2011	556799
36	2059	554604
37	2110	553184
38	2154	550379
39	2208	549870
40	2261	549423
41	2315	549032
42	2366	547983
43	2419	547456
44	2470	546450
45	2514	544065
46	2567	543686
47	2609	541089
48	2656	539391
49	2694	536255
50	2743	535222
51	2793	534348
52	2839	532873
53	2878	530223
54	2931	530070
55	2977	528793
56	3019	526771
57	3063	525120
58	3109	523893
59	3157	523108
60	3204	522092
61	3248	520776
62	3296	519993
63	3345	519324
64	3400	519719
65	3460	520784
66	3508	520199
67	3554	519103
68	3615	520382
69	3675	521342
70	3718	520038
71	3768	519622
72	3820	519501
73	3866	518623
74	3922	519071
75	3969	518279
76	4022	518392
77	4067	517386
78	4114	516702
79	4174	517578
80	4224	517347
81	4270	516496
82	4309	514923
83	4358	514527
84	4399	513222
85	4457	513828
86	4501	512946
87	4549	512421
88	4591	511297
89	4637	510668
90	4685	510198
91	4731	509535
92	4780	509218
93	4826	508578
94	4870	507851
95	4926	508276
96	4970	507437
97	5021	507389
98	5071	507206
99	5118	506723
100	5157	505483
101	5199	504590
102	5253	504797
103	5303	504681
104	5356	504756
105	5395	503646
106	5450	503919
107	5506	504368
108	5554	504040
109	5598	503364
110	5648	503211
111	5701	503390
112	5747	502915
113	5808	503719
114	5859	503638
115	5915	504025
116	5965	503930
117	6010	503349
118	6071	504135
119	6118	503755
120	6167	503570
121	6226	504175
122	6270	503514
123	6307	502355
124	6364	502799
125	6420	503169
126	6472	503204
127	6512	502242
128	6559	501934
129	6595	500759
130	6629	499435
131	6682	499573
132	6737	499862
133	6787	499771
134	6845	500209
135	6902	500634
136	6946	500073
137	6992	499734
138	7035	499134
139	7079	498622
140	7118	497751
141	7162	497205
142	7213	497236
143	7259	496890
144	7311	496931
145	7353	496305
146	7394	495642
147	7450	495985
148	7500	495882
149	7565	496814
150	7606	496119
151	7660	496307
152	7706	495966
153	7756	495910
154	7799	495404
155	7849	495324
156	7903	495480
157	7945	494956
158	7998	495063
159	8061	495755
160	8107	495472
161	8160	495553
162	8220	496115
163	8272	496170
164	8327	496347
165	8383	496637
166	8433	496573
167	8497	497283
168	8559	497899
169	8600	497289
170	8669	498315
171	8729	498780
172	8792	499447
173	8849	499736
174	8898	499589
175	8954	499798
176	9009	499993
177	9054	499604
178	9109	499781
179	9157	499590
180	9204	499330
181	9262	499647
182	9313	499627
183	9361	499417
184	9425	500035
185	9490	500749
186	9538	500557
187	9591	500618
188	9652	501055
189	9700	500873
190	9756	501041
191	9805	500894
192	9850	500537
193	9902	500555
194	9958	500735
195	10017	501088
196	10077	501464
197	10129	501438
198	10196	502183
199	10246	502054
200	10301	502215
201	10347	501905
202	10400	501926
203	10462	502396
204	10521	502699
205	10580	503013
206	10637	503229
207	10692	503363
208	10747	503471
209	10788	502952
210	10844	503130
211	10899	503229
212	10942	502776
213	10982	502239
214	11038	502372
215	11090	502348
216	11134	501990
217	11179	501655
218	11228	501475
219	11301	502418
220	11350	502226
221	11409	502517
222	11457	502343
223	11509	502289
224	11557	502101
225	11612	502208
226	11661	502044
227	11727	502624
228	11781	502704
229	11831	502571
230	11888	502759
231	11944	502922
232	12007	503316
233	12054	503081
234	12106	503048
235	12156	502952
236	12205	502783
237	12252	502568
238	12316	503028
239	12369	503025
240	12420	502968
241	12465	502639
242	12512	502418
243	12562	502289
244	12620	502501
245	12673	502520
246	12727	502568
247	12795	503161
248	12840	502842
249	12893	502861
250	12939	502594
251	12993	502603
252	13036	502226
253	13083	502031
254	13140	502177
255	13186	501903
256	13251	502362
257	13313	502708
258	13363	502619
259	13430	503122
260	13487	503265
261	13535	503083
262	13586	503013
263	13632	502732
264	13680	502565
265	13738	502735
266	13790	502699
267	13844	502725
268	13890	502491
269	13946	502572
270	13996	502469
271	14051	502530
272	14090	502055
273	14148	502224
274	14188	501763
275	14232	501435
276	14293	501710
277	14336	501371
278	14390	501406
279	14443	501412
280	14487	501069
281	14533	500834
282	14584	500765
283	14633	500639
284	14690	500755
285	14739	500633
286	14782	500298
287	14827	500015
288	14878	499950
289	14928	499860
290	14972	499548
291	15017	499289
292	15062	499029
293	15113	498945
294	15157	498662
295	15210	498662
296	15259	498518
297	15311	498500
298	15361	498404
299	15421	498622
300	15472	498555
301	15545	499207
302	15600	499261
303	15654	499303
304	15721	499741
305	15770	499590
306	15821	499547
307	15863	499174
308	15925	499467
309	15972	499271
310	16036	499611
311	16091	499672
312	16145	499681
313	16221	500374
314	16269	500228
315	16315	499985
316	16368	499991
317	16413	499745
318	16467	499751
319	16522	499795
320	16570	499630
321	16618	499494
322	16673	499542
323	16721	499387
324	16779	499502
325	16838	499670
326	16880	499340
327	16929	499222
